file,category,global,jpeg_artifacts,lighting_uniformity,edge_quality,color_consistency,effective_resolution,clip_coherence
001_1.jpg,clothing,0.6516,0.673,0.8061,0.4343,0.9596,0.5,0.5
002_1.jpg,clothing,0.6534,0.673,1.0,0.3302,0.8516,0.5,0.5
003_1.jpg,clothing,0.6391,0.673,0.953,0.3966,0.7303,0.5,0.5
004_1.jpg,clothing,0.6347,0.673,1.0,0.3871,0.6514,0.5,0.5
005_1.jpg,clothing,0.6916,0.673,1.0,0.422,0.9842,0.5,0.5
006_1.jpg,clothing,0.6456,0.673,0.9426,0.4607,0.7026,0.5,0.5
007_1.jpg,clothing,0.584,0.673,0.7337,0.3201,0.7575,0.5,0.5
008_1.jpg,clothing,0.6596,0.673,0.9434,0.3087,0.9969,0.5,0.5
009_1.jpg,clothing,0.5889,0.673,0.6467,0.4324,0.7564,0.5,0.5
010_1.jpg,clothing,0.649,0.673,1.0,0.3317,0.8204,0.5,0.5
011_1.jpg,clothing,0.6887,0.673,1.0,0.3956,1.0,0.5,0.5
012_1.jpg,clothing,0.6468,0.673,1.0,0.3417,0.7926,0.5,0.5
013_1.jpg,clothing,0.6289,0.673,1.0,0.2691,0.7696,0.5,0.5
014_1.jpg,clothing,0.6546,0.673,1.0,0.3885,0.7817,0.5,0.5
015_1.jpg,clothing,0.6065,0.673,0.73,0.3853,0.8259,0.5,0.5
016_1.jpg,clothing,0.6838,0.673,0.996,0.4846,0.8542,0.5,0.5
017_1.jpg,clothing,0.629,0.673,1.0,0.2888,0.744,0.5,0.5
018_1.jpg,clothing,0.6064,0.673,0.9118,0.2961,0.7017,0.5,0.5
019_1.jpg,clothing,0.6663,0.673,1.0,0.4901,0.7248,0.5,0.5
020_7.jpg,clothing,0.6393,0.673,0.7275,0.4421,0.9716,0.5,0.5
021_1.jpg,clothing,0.6474,0.673,1.0,0.3582,0.7747,0.5,0.5
022_1.jpg,clothing,0.6398,0.673,0.8001,0.351,0.9998,0.5,0.5
023_1.jpg,clothing,0.5859,0.673,0.8011,0.2922,0.7174,0.5,0.5
