"id","category","title","description","product_url","image_path","width","height"
"001","portable_electronics","XIAOMI 20000mAh Redmi 18W Fast Charge Power Bank (Black)","","https://www.jumia.ma/xiaomi-20000mah-redmi-18w-fast-charge-power-bank-black-48931123.html","data\\raw_images\\portable_electronics\\001_1.jpg","300","300"
"002","portable_electronics","XIAOMI Power Bank 20000mAh Integrated Cable GL Dark Gray","","https://www.jumia.ma/customer/account/login/?tkWl=XI737EL09PY7GNAFAMZ-69709538&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\002_1.jpg","300","300"
"003","portable_electronics","Samsung A07 – 6,7"" – 64 GB + 4 GB Ram – Violet","","https://www.jumia.ma/customer/account/login/?tkWl=SA024MP14NBZWNAFAMZ-69670726&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\003_1.jpg","300","300"
"004","portable_electronics","Itel City 100 6,75"" C67L 256GB - 12GB (8+4) - PURE TITANIUM","","https://www.jumia.ma/customer/account/login/?tkWl=IT879MP0DSRS0NAFAMZ-69845217&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\004_1.jpg","300","300"
"005","portable_electronics","Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Light Blue","","https://www.jumia.ma/customer/account/login/?tkWl=SA024MP0JBOYINAFAMZ-68703285&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\005_1.jpg","300","300"
"006","portable_electronics","XIAOMI Redmi Watch 5 Active (Midnight Black)","","https://www.jumia.ma/customer/account/login/?tkWl=XI737EA01SG10NAFAMZ-68070468&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\006_1.jpg","300","300"
"007","portable_electronics","Écouteurs intra-auriculaires TWS Bluetooth 5.0 contrôle tactile","","https://www.jumia.ma/customer/account/login/?tkWl=GE232EA0IJVKSNAFAMZ-69886682&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\007_1.jpg","300","300"
"008","portable_electronics","Samsung Chargeur Samsung 45W USB-C Ultra Rapide Super Fast Charging – PD / PPS – Avec Câble USB-C 5A","","https://www.jumia.ma/customer/account/login/?tkWl=AD326EA0N4V5SNAFAMZ-69614158&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\008_1.jpg","300","300"
"009","portable_electronics","Samsung Galaxy A17 - 4 Go + 128 Go  - Noir - 2 ans de garantie","","https://www.jumia.ma/customer/account/login/?tkWl=SA024MP11HNK4NAFAMZ-69986923&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\009_1.jpg","300","300"
"010","portable_electronics","Ring Light 26cm + Trepied Tripod Avec Support Téléphone RingLight","","https://www.jumia.ma/customer/account/login/?tkWl=GE232EA1BCC1YNAFAMZ-66440241&return=%2Ftelephone-tablette%2F%3Fpage%3D1","data\\raw_images\\portable_electronics\\010_1.jpg","300","300"
